"","user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
"1",295203,2024-03-22,"Gold",4.99,4
"2",303823,2024-03-25,"Promotion",4.99,5
"3",284707,2024-03-09,"Remove Ads",4.99,8
"4",280620,2024-03-09,"Promotion",4.99,2
"5",292092,2024-03-05,"Promotion",4.99,1
"6",286965,2024-04-05,"Gold",4.99,2
"7",305474,2024-04-11,"Promotion",4.99,2
"8",282372,2024-04-04,"Promotion",4.99,1
"9",304940,2024-04-02,"Promotion",4.99,1
"10",304552,2024-04-10,"Gold",9.99,8
"11",285210,2024-04-24,"Gold",9.99,5
"12",288371,2024-03-23,"Promotion",4.99,1
"13",299427,2024-03-26,"Remove Ads",4.99,21
"14",306150,2024-03-19,"Gold",9.99,4
"15",299568,2024-03-31,"Promotion",4.99,2
"16",299527,2024-03-21,"Gold",4.99,25
"17",281203,2024-04-22,"Promotion",4.99,6
"18",276409,2024-04-24,"Promotion",9.99,5
"19",279199,2024-03-21,"Gold",19.99,51
"20",279199,2024-04-06,"Gold",19.99,98
"21",287149,2024-03-06,"Gold",4.99,2
"22",302906,2024-03-02,"Remove Ads",4.99,1
"23",282336,2024-04-30,"Remove Ads",4.99,9
"24",306335,2024-03-29,"Gold",4.99,4
"25",277661,2024-04-10,"Gold",4.99,3
"26",281035,2024-03-15,"Remove Ads",4.99,3
"27",296536,2024-03-02,"Gold",4.99,4
"28",309187,2024-03-13,"Remove Ads",4.99,1
"29",306197,2024-04-07,"Gold",4.99,5
"30",279558,2024-04-14,"Remove Ads",4.99,6
"31",308247,2024-03-01,"Gold",4.99,3
"32",307825,2024-03-22,"Promotion",4.99,2
"33",296251,2024-03-27,"Remove Ads",NA,4
"34",283279,2024-04-03,"Remove Ads",4.99,3
"35",282798,2024-04-10,"Gold",4.99,58
"36",302598,2024-04-29,"Gold",4.99,10
"37",302598,2024-04-30,"Gold",4.99,11
"38",280354,2024-03-31,"Promotion",4.99,3
"39",308168,2024-04-12,"Promotion",4.99,2
"40",285607,2024-04-05,"Gold",4.99,1
"41",290698,2024-03-28,"Promotion",4.99,1
"42",302245,2024-04-21,"Promotion",9.99,3
"43",305509,2024-04-21,"Promotion",4.99,10
"44",306606,2024-03-02,"Gold",4.99,1
"45",288815,2024-04-15,"Remove Ads",4.99,4
"46",295203,2024-03-24,"Gold",4.99,6
"47",275379,2024-03-16,"Remove Ads",4.99,5
"48",278091,2024-03-13,"Promotion",4.99,7
"49",302995,2024-03-03,"Promotion",4.99,1
"50",292915,2024-03-10,"Promotion",4.99,3
"51",277453,2024-04-20,"Promotion",4.99,3
"52",284707,2024-03-15,"Gold",9.99,12
"53",284035,2024-04-13,"Gold",4.99,2
"54",287315,2024-04-02,"Promotion",4.99,2
"55",288307,2024-04-01,"Promotion",9.99,4
"56",282824,2024-04-02,"Promotion",4.99,2
"57",275976,2024-03-11,"Gold",4.99,2
"58",277701,2024-04-10,"Promotion",4.99,6
"59",278641,2024-04-11,"Gold",9.99,1
"60",295094,2024-04-29,"Promotion",4.99,1
"61",291858,2024-03-01,"Gold",9.99,2
