"","user_id","activity_date","product_group","n_purchases","gold_spend"
"1",303932,2024-04-15,"Weapon",3,15
"2",295960,2024-04-15,"Weapon",5,25
"3",275717,2024-04-15,"Weapon",2,18
"4",272271,2024-04-15,"Weapon",9,370
"5",303640,2024-04-15,"Weapon",4,20
"6",297848,2024-04-15,"Boost",1,4
"7",283402,2024-04-15,"Boost",1,5
"8",289818,2024-04-15,"Weapon",1,33
"9",281268,2024-04-15,"Weapon",1,5
"10",285155,2024-04-15,"Weapon",5,25
"11",286804,2024-04-15,"Boost",1,100
"12",277322,2024-03-08,"Weapon",6,32
"13",278513,2024-03-08,"Weapon",1,21
"14",304287,2024-03-08,"Weapon",2,30
"15",297624,2024-03-08,"Weapon",1,13
"16",286082,2024-03-08,"Weapon",2,20
"17",283882,2024-03-08,"Weapon",1,50
"18",277338,2024-03-08,"Weapon",1,15
"19",308350,2024-03-08,"Weapon",3,15
"20",295766,2024-03-08,"Boost",1,99
"21",290188,2024-03-16,"Weapon",1,58
"22",300246,2024-03-16,"Weapon",5,19
"23",300952,2024-03-16,"Weapon",3,22
"24",293485,2024-03-16,"Boost",1,450
"25",305731,2024-03-16,"Weapon",5,25
"26",289429,2024-03-16,"Weapon",1,1
"27",298536,2024-03-16,"Weapon",1,50
"28",296726,2024-03-16,"Weapon",2,22
"29",298415,2024-03-16,"Weapon",1,5
"30",284406,2024-03-16,"Boost",1,100
"31",273985,2024-03-16,"Boost",1,49
"32",279790,2024-04-04,"Weapon",3,15
"33",288536,2024-04-04,"Boost",2,200
"34",286207,2024-04-04,"Weapon",1,13
"35",272548,2024-04-04,"Weapon",3,45
"36",287862,2024-04-04,"Weapon",2,30
"37",275870,2024-04-04,"Weapon",2,26
"38",287526,2024-04-04,"Weapon",1,13
"39",272916,2024-04-04,"Boost",1,2
"40",283601,2024-04-04,"Weapon",1,13
"41",279599,2024-04-04,"Weapon",1,5
"42",287305,2024-04-04,"Weapon",1,20
"43",293353,2024-04-04,"Weapon",1,16
"44",274828,2024-03-21,"Weapon",1,5
"45",296330,2024-03-21,"Weapon",2,7
"46",299399,2024-03-21,"Weapon",3,16
"47",299367,2024-03-21,"Weapon",6,71
"48",301907,2024-03-21,"Weapon",4,94
"49",302755,2024-03-21,"Weapon",4,10
"50",279199,2024-03-21,"Boost",2,898
"51",286469,2024-03-21,"Weapon",1,15
"52",286694,2024-03-21,"Weapon",1,7
"53",290195,2024-03-21,"Weapon",1,5
"54",279942,2024-03-21,"Weapon",1,15
